temporada;data;data_dmy;equip;competicio;divisio;grup;tipus;seu_club;municipi;precisio;km_anada;km_total;minuts_anada;estat;nota;seu_nominal;tarifa_eur_km;import_km_eur;jugadors;te_dieta;import_dietes_eur;import_total_eur;preu_gasolina_eur_l;setmana_preu;litres;cost_combustible_eur
2014-2015;2014-10-25;25/10/14;"Banyoles ""A""";Lliga Catalana Tres Bandes;1a DIVISIÓ;ÚNIC;regular;C.B.MONTMELÓ;Montmeló;municipi;96.2;192.4;72;verificat;;;0.19;36.56;4;True;100.0;136.56;1.3524;2014-10-20;12.51;16.91
2014-2015;2014-11-22;22/11/14;"Banyoles ""A""";Lliga Catalana Tres Bandes;1a DIVISIÓ;ÚNIC;regular;C.B.MATARÓ;Mataró;carrer;85.9;171.8;68;verificat;;;0.19;32.64;4;True;100.0;132.64;1.3285;2014-11-17;11.17;14.84
2014-2015;2014-12-27;27/12/14;"Banyoles ""A""";Lliga Catalana Tres Bandes;1a DIVISIÓ;ÚNIC;regular;C.B.BARCELONA;Barcelona;portal;117.9;235.8;90;verificat;;;0.19;44.8;4;True;100.0;144.8;1.2176;2014-12-15;15.33;18.66
2014-2015;2015-01-03;03/01/15;"Banyoles ""A""";Lliga Catalana Tres Bandes;1a DIVISIÓ;ÚNIC;regular;C.B.LLEIDA;Lleida;carrer;247.7;495.4;170;verificat;;;0.19;94.13;4;True;100.0;194.13;1.2176;2014-12-15;32.2;39.21
2014-2015;2015-05-09;09/05/15;"Banyoles ""A""";Lliga Catalana Tres Bandes;1a DIVISIÓ;ÚNIC;regular;C.B.SANT ADRIÀ;Sant Adrià de Besòs;portal;112.4;224.8;82;verificat;;;0.19;42.71;4;True;100.0;142.71;1.317;2015-05-04;14.61;19.24
2014-2015;2014-10-04;04/10/14;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;C.B.LLINARS;Llinars del Vallès;carrer;77.7;155.4;60;verificat;;;0.19;29.53;4;True;100.0;129.53;1.4019;2014-09-29;10.1;14.16
2014-2015;2014-11-01;01/11/14;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;B.C.GRANOLLERS;Granollers;carrer;89.4;178.8;68;verificat;;;0.19;33.97;4;True;100.0;133.97;1.3286;2014-10-27;11.62;15.44
2014-2015;2014-11-29;29/11/14;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;S.B.F.MOLINS;Molins de Rei;carrer;124.1;248.2;91;verificat;;;0.19;47.16;4;True;100.0;147.16;1.3082;2014-11-24;16.13;21.11
2014-2015;2015-02-07;07/02/15;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;C.B.BLANES;Blanes;carrer;59.3;118.6;53;verificat;;;0.19;22.53;4;True;100.0;122.53;1.1362;2015-02-02;7.71;8.76
2014-2015;2015-03-07;07/03/15;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;S.B.LA COLMENA;Santa Coloma de Gramenet;municipi;109.7;219.4;79;verificat;;;0.19;41.69;4;True;100.0;141.69;1.2373;2015-03-02;14.26;17.65
2014-2015;2015-04-25;25/04/15;"Banyoles ""B""";Lliga Catalana Tres Bandes;3a DIVISIÓ;B;regular;C.B.SANT ADRIÀ;Sant Adrià de Besòs;portal;112.4;224.8;82;verificat;;;0.19;42.71;4;True;100.0;142.71;1.2879;2015-04-20;14.61;18.82
