equip;divisio;grup;rival_club;rival_equip;municipi;precisio;km_anada;km_total;minuts_anada;tarifa_eur_km;import_km_eur;te_dieta;jugadors;import_dietes_eur;import_total_eur
"Banyoles ""A""";1a DIVISIÓ;B;C.B.CANET DE MAR;A;Canet de Mar;municipi;74.4;148.8;62;0.26;38.69;True;4;100.0;138.69
"Banyoles ""A""";1a DIVISIÓ;B;C.B.MANRESA;A;Manresa;carrer;135.4;270.8;99;0.26;70.41;True;4;100.0;170.41
"Banyoles ""A""";1a DIVISIÓ;B;C.B.MATARÓ;B;Mataró;carrer;85.9;171.8;68;0.26;44.67;True;4;100.0;144.67
"Banyoles ""A""";1a DIVISIÓ;B;C.B.MOLLET;B;Mollet del Vallès;carrer;98.3;196.6;71;0.26;51.12;True;4;100.0;151.12
"Banyoles ""A""";1a DIVISIÓ;B;C.B.SANT ADRIÀ;C;Sant Adrià de Besòs;portal;112.4;224.8;82;0.26;58.45;True;4;100.0;158.45
"Banyoles ""A""";1a DIVISIÓ;B;C.B.SANTS;A;Barcelona;portal;120.1;240.2;93;0.26;62.45;True;4;100.0;162.45
"Banyoles ""A""";1a DIVISIÓ;B;S.B.LA GRAN PENYA;A;Vilanova i la Geltrú;portal;161.6;323.2;126;0.26;84.03;True;4;100.0;184.03
"Banyoles ""B""";2a DIVISIÓ;B;C.B.CARDONA;A;Cardona;municipi;158.1;316.2;120;0.26;82.21;True;4;100.0;182.21
"Banyoles ""B""";2a DIVISIÓ;B;C.B.LLINARS;B;Llinars del Vallès;carrer;77.7;155.4;60;0.26;40.4;True;4;100.0;140.4
"Banyoles ""B""";2a DIVISIÓ;B;C.B.PREMIÀ;A;Premià de Mar;carrer;97.6;195.2;78;0.26;50.75;True;4;100.0;150.75
"Banyoles ""B""";2a DIVISIÓ;B;C.B.SANT BOI;B;Sant Boi de Llobregat;carrer;130.4;260.8;100;0.26;67.81;True;4;100.0;167.81
"Banyoles ""B""";2a DIVISIÓ;B;C.B.SANTS;C;Barcelona;portal;120.1;240.2;93;0.26;62.45;True;4;100.0;162.45
"Banyoles ""B""";2a DIVISIÓ;B;C.B.TARRAGONA;A;Tarragona;portal;205.5;411.0;144;0.26;106.86;True;4;100.0;206.86
"Banyoles ""B""";2a DIVISIÓ;B;S.B.F.MOLINS;C;Molins de Rei;carrer;124.1;248.2;91;0.26;64.53;True;4;100.0;164.53
"Banyoles ""C""";4a DIVISIÓ;B;C.B. BORGES;A;Les Borges Blanques;carrer;231.3;462.6;166;0.26;120.28;True;4;100.0;220.28
"Banyoles ""C""";4a DIVISIÓ;B;C.B.BARCELONA;C;Barcelona;portal;117.9;235.8;90;0.26;61.31;True;4;100.0;161.31
"Banyoles ""C""";4a DIVISIÓ;B;C.B.LLINARS;E;Llinars del Vallès;carrer;77.7;155.4;60;0.26;40.4;True;4;100.0;140.4
"Banyoles ""C""";4a DIVISIÓ;B;C.B.MANRESA;B;Manresa;carrer;135.4;270.8;99;0.26;70.41;True;4;100.0;170.41
"Banyoles ""C""";4a DIVISIÓ;B;C.B.MONFORTE;E;Barcelona;portal;111.6;223.2;82;0.26;58.03;True;4;100.0;158.03
"Banyoles ""C""";4a DIVISIÓ;B;C.B.MONT-ROIG;C;Mont-roig del Camp;carrer;233.9;467.8;162;0.26;121.63;True;4;100.0;221.63
"Banyoles ""C""";4a DIVISIÓ;B;C.B.SANT FELIU;A;Sant Feliu de Codines;municipi;116.1;232.2;86;0.26;60.37;True;4;100.0;160.37
"Banyoles ""C""";4a DIVISIÓ;B;C.B.VILANOVA;A;Vilanova i la Geltrú;carrer;161.3;322.6;124;0.26;83.88;True;4;100.0;183.88
"Banyoles ""C""";4a DIVISIÓ;B;S.B.CORAL COLÓN;B;Sabadell;carrer;109.0;218.0;84;0.26;56.68;True;4;100.0;156.68
